Turtle ID: 181, Tick: 0, xcor: -0.23800628869047613, ycor: -15.212785425447663, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 1, xcor: -1.2039321149795446, ycor: -14.953966380345143, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 2, xcor: -2.2001268130712903, ycor: -15.041122123092801, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 3, xcor: -3.091133337259658, ycor: -15.495112622832348, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 4, xcor: -3.974080930118585, ycor: -15.96458418561824, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 5, xcor: -4.857028522977512, ycor: -16.43405574840413, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 6, xcor: -5.705076619133938, ycor: 16.036024987362666, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 7, xcor: -6.701271317225683, ycor: 15.948869244615008, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 8, xcor: -7.567296721010122, ycor: 15.448869244615008, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 9, xcor: -8.52855841694844, ycor: 15.173231888798009, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 10, xcor: -9.073197451963468, ycor: 14.334561320852584, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 11, xcor: -9.702517843013306, ycor: 13.557415359395614, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 12, xcor: -10.384516203075805, ycor: 12.826061657776444, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 13, xcor: -10.943709106546551, ycor: 11.997024085221403, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 14, xcor: -11.889227682145869, ycor: 11.671455930764246, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 15, xcor: -12.80973253559831, ycor: 11.280724802274973, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 16, xcor: -13.54108623721748, ycor: 10.598726442212474, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 17, xcor: -13.931817365706753, ycor: 9.678221588760033, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 18, xcor: -13.896917869004252, ycor: 8.678830761740938, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 19, xcor: -14.366389431790143, ycor: 7.795883168882011, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 20, xcor: -14.67540642616509, ycor: 6.844826652586858, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 21, xcor: -14.553537082759942, ycor: 5.852280500945536, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 22, xcor: -14.328586028416076, ycor: 4.877910436160301, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 23, xcor: -13.585441202938682, ycor: 4.2087798298014425, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 24, xcor: -12.78680569289139, ycor: 3.606964806649394, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 25, xcor: -12.199020440598916, ycor: 2.7979478122744466, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 26, xcor: -11.940201395496395, ycor: 1.8320219859853784, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 27, xcor: -11.565594802080483, ycor: 0.904838131418591, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 28, xcor: -10.896464195721624, ycor: 0.1616933059411969, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 29, xcor: -10.048416099565198, ycor: -0.3682259582920079, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 30, xcor: -9.756044394842462, ycor: -1.3245307142550433, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 31, xcor: -9.565235399465918, ycor: -2.3061578977027075, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 32, xcor: -10.080273474375971, ycor: -3.16332519840482, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 33, xcor: -10.76227183443847, ycor: -3.8946789000239908, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 34, xcor: -11.636891541577866, ycor: -4.3794885202703275, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 35, xcor: -12.543199328614516, ycor: -4.802106782011027, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 36, xcor: -13.509125154903584, ycor: -5.0609258271135475, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 37, xcor: -14.110940178055632, ycor: -5.859561337160841, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 38, xcor: -14.939977750610673, ycor: -6.418754240631587, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 39, xcor: -15.555639225936332, ycor: -7.206764994238309, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 40, xcor: -16.085558490169536, ycor: -8.054813090394735, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 41, xcor: -16.01580201642541, ycor: -9.052377140654558, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 42, xcor: 16.32813895458408, ycor: -9.80708672087733, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 43, xcor: 15.726323931432033, ycor: -10.605722230924622, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 44, xcor: 14.843376338573105, ycor: -11.075193793710513, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 45, xcor: 13.944582292273939, ycor: -11.51356494049959, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 46, xcor: 12.959774539261732, ycor: -11.68721311816652, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 47, xcor: 11.998512843323413, ycor: -11.411575762349521, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 48, xcor: 10.999122016304318, ycor: -11.37667626564702, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 49, xcor: 10.01431426329211, ycor: -11.55032444331395, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 50, xcor: 9.019792367923838, ycor: -11.654852906581604, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 51, xcor: 8.020401540904743, ycor: -11.619953409879104, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 52, xcor: 7.064096784941707, ycor: -11.327581705156367, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 53, xcor: 6.064096784941707, ycor: -11.327581705156367, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 54, xcor: 5.113040268646554, ycor: -11.01856471078142, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 55, xcor: 4.206732481609904, ycor: -10.59594644904072, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 56, xcor: 3.4996257004233557, ycor: -9.888839667854173, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 57, xcor: 2.6086191762349875, ycor: -9.434849168114626, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 58, xcor: 1.8425747331160094, ycor: -8.792061558428086, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 59, xcor: 0.8548863925208716, ycor: -8.635627093387855, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 60, xcor: 0.045869398145924056, ycor: -8.047841841095382, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 61, xcor: -0.673470402192727, ycor: -7.3531834706363846, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 62, xcor: -1.3426010085515852, ycor: -6.6100386451589905, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 63, xcor: -1.8426010085515856, ycor: -5.744013241374552, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 64, xcor: -2.067552062895451, ycor: -4.769643176589317, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 65, xcor: -2.906222630840875, ycor: -4.22500414157429, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 66, xcor: -3.6609322110636473, ycor: -3.5689451125837834, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 67, xcor: -4.5519387352520155, ycor: -3.1149546128442367, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 68, xcor: -5.522234461528012, ycor: -2.8730327172445693, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 69, xcor: -6.500382062261818, ycor: -2.6651210264268097, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 70, xcor: -7.357549362963931, ycor: -2.1500829515167554, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 71, xcor: -8.052207733422929, ycor: -1.4307431511781046, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 72, xcor: -8.681528124472766, ycor: -0.653597189721134, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 73, xcor: -9.529576220629192, ycor: -0.12367792548792933, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 74, xcor: -10.529423915785584, ycor: -0.14113033192521282, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 75, xcor: -11.412371508644512, ycor: -0.6106018947111036, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 76, xcor: -12.221388503019458, ycor: -1.1983871470035767, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 77, xcor: -13.166907078618776, ycor: -1.5239553014607334, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 78, xcor: -14.141277143404011, ycor: -1.7489063558045987, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 79, xcor: -14.989325239560436, ycor: -2.2788256200378036, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 80, xcor: -15.214276293904302, ycor: -3.253195684823039, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 81, xcor: -15.506647998627038, ycor: -4.2095004407860745, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 82, xcor: -15.697456994003582, ycor: -5.191127624233738, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 83, xcor: -16.285242246296054, ycor: -6.000144618608686, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 84, xcor: 15.995417953365294, ycor: -6.694802989067683, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 85, xcor: 15.703046248642558, ycor: -7.6511077450307186, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 86, xcor: 14.99593946745601, ycor: -8.358214526217266, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 87, xcor: 14.380277992130353, ycor: -9.146225279823987, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 88, xcor: 14.104640636313354, ycor: -10.107486975762306, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 89, xcor: 13.682022374572654, ycor: -11.013794762798955, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 90, xcor: 13.212550811786762, ycor: -11.896742355657882, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 91, xcor: 13.29970655453442, ycor: -12.892937053749627, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 92, xcor: 12.740513651063674, ycor: -13.721974626304668, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 93, xcor: 12.653357908316016, ycor: -14.718169324396413, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 94, xcor: 12.311337764990347, ycor: -15.657861945182322, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 95, xcor: 11.811337764990347, ycor: 16.47611265103324, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 96, xcor: 11.023327011383625, ycor: 15.860451175707583, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 97, xcor: 10.166159710681512, ycor: 15.34541310079753, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 98, xcor: 9.37814895707479, ycor: 14.729751625471872, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 99, xcor: 8.97141231399899, ycor: 13.816206167829272, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 100, xcor: 8.645844159541832, ycor: 12.870687592229954, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 101, xcor: 7.9026993340644385, ycor: 12.201556985871097, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 102, xcor: 7.093682339689491, ycor: 11.613771733578623, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 103, xcor: 6.284665345314544, ycor: 11.02598648128615, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 104, xcor: 5.344972724528635, ycor: 10.68396633796048, status: vaccinated, using mask: 0
Turtle ID: 181, Tick: 105, xcor: 4.50630215658321, ycor: 10.139327302945453, status: vaccinated, using mask: 0
